,datetime,bid_open,bid_high,bid_low,bid_close,bid_volume,bid_average,bid_barCount,ask_open,ask_high,ask_low,ask_close,ask_volume,ask_average,ask_barCount
0,2020-06-01 00:00:00+00:00,0.66582,0.66583,0.66581,0.66582,-1,-1.0,-1,0.66584,0.66586,0.66584,0.66586,-1,-1.0,-1
3600,2020-06-01 01:00:00+00:00,0.66897,0.66898,0.6688,0.6688,-1,-1.0,-1,0.66902,0.66902,0.66883,0.66883,-1,-1.0,-1
7200,2020-06-01 02:00:00+00:00,0.67251,0.67253,0.67251,0.67253,-1,-1.0,-1,0.67255,0.67255,0.67253,0.67255,-1,-1.0,-1
10800,2020-06-01 03:00:00+00:00,0.67355,0.67357,0.67352,0.67353,-1,-1.0,-1,0.67357,0.67358,0.67356,0.67357,-1,-1.0,-1
14400,2020-06-01 04:00:00+00:00,0.67192,0.67199,0.67192,0.67199,-1,-1.0,-1,0.67195,0.672,0.67195,0.672,-1,-1.0,-1
18000,2020-06-01 05:00:00+00:00,0.6724,0.67241,0.67239,0.67239,-1,-1.0,-1,0.67244,0.67244,0.67243,0.67243,-1,-1.0,-1
21600,2020-06-01 06:00:00+00:00,0.67408,0.67409,0.67406,0.67406,-1,-1.0,-1,0.67411,0.67412,0.6741,0.6741,-1,-1.0,-1
25200,2020-06-01 07:00:00+00:00,0.67492,0.67501,0.67491,0.67501,-1,-1.0,-1,0.67493,0.67503,0.67493,0.67503,-1,-1.0,-1
28800,2020-06-01 08:00:00+00:00,0.677,0.67702,0.677,0.677,-1,-1.0,-1,0.67704,0.67705,0.67704,0.67704,-1,-1.0,-1
32400,2020-06-01 09:00:00+00:00,0.67366,0.67366,0.67362,0.67365,-1,-1.0,-1,0.67367,0.67367,0.67366,0.67366,-1,-1.0,-1
36000,2020-06-01 10:00:00+00:00,0.67288,0.67289,0.67288,0.67289,-1,-1.0,-1,0.67292,0.67292,0.67292,0.67292,-1,-1.0,-1
39600,2020-06-01 11:00:00+00:00,0.67254,0.67258,0.67254,0.67256,-1,-1.0,-1,0.67257,0.67259,0.67257,0.67259,-1,-1.0,-1
43200,2020-06-01 12:00:00+00:00,0.67371,0.67371,0.6737,0.6737,-1,-1.0,-1,0.67375,0.67375,0.67371,0.67374,-1,-1.0,-1
46800,2020-06-01 13:00:00+00:00,0.67259,0.67259,0.67249,0.67249,-1,-1.0,-1,0.67261,0.67261,0.6725,0.6725,-1,-1.0,-1
50400,2020-06-01 14:00:00+00:00,0.6738,0.67384,0.67378,0.67383,-1,-1.0,-1,0.67383,0.6739,0.67383,0.67388,-1,-1.0,-1
