,datetime,bid_open,bid_high,bid_low,bid_close,bid_volume,bid_average,bid_barCount,ask_open,ask_high,ask_low,ask_close,ask_volume,ask_average,ask_barCount
0,2020-06-01 00:00:00+00:00,1.66942,1.66945,1.66935,1.66936,-1,-1.0,-1,1.66949,1.66952,1.66943,1.66943,-1,-1.0,-1
3600,2020-06-01 01:00:00+00:00,1.66237,1.66266,1.66237,1.66264,-1,-1.0,-1,1.6625,1.66279,1.6625,1.66276,-1,-1.0,-1
7200,2020-06-01 02:00:00+00:00,1.65552,1.6556,1.65552,1.65559,-1,-1.0,-1,1.65561,1.65567,1.65558,1.65563,-1,-1.0,-1
10800,2020-06-01 03:00:00+00:00,1.6535,1.65351,1.65346,1.65351,-1,-1.0,-1,1.65355,1.6536,1.6535,1.65356,-1,-1.0,-1
14400,2020-06-01 04:00:00+00:00,1.6568,1.65681,1.65662,1.65662,-1,-1.0,-1,1.6569,1.6569,1.65674,1.65674,-1,-1.0,-1
18000,2020-06-01 05:00:00+00:00,1.65567,1.65567,1.65564,1.65567,-1,-1.0,-1,1.65579,1.65579,1.65577,1.65579,-1,-1.0,-1
21600,2020-06-01 06:00:00+00:00,1.65253,1.65256,1.65253,1.65255,-1,-1.0,-1,1.65261,1.65263,1.65256,1.65262,-1,-1.0,-1
25200,2020-06-01 07:00:00+00:00,1.65011,1.65011,1.64991,1.64994,-1,-1.0,-1,1.65016,1.65018,1.64999,1.65002,-1,-1.0,-1
28800,2020-06-01 08:00:00+00:00,1.6467,1.64671,1.64663,1.64663,-1,-1.0,-1,1.64678,1.64682,1.64674,1.64675,-1,-1.0,-1
32400,2020-06-01 09:00:00+00:00,1.65362,1.65365,1.65357,1.65364,-1,-1.0,-1,1.65367,1.65373,1.65367,1.65367,-1,-1.0,-1
36000,2020-06-01 10:00:00+00:00,1.65166,1.65175,1.65166,1.65174,-1,-1.0,-1,1.65171,1.6518,1.65169,1.65179,-1,-1.0,-1
39600,2020-06-01 11:00:00+00:00,1.65126,1.65127,1.65118,1.65118,-1,-1.0,-1,1.65135,1.65135,1.65127,1.65127,-1,-1.0,-1
43200,2020-06-01 12:00:00+00:00,1.64926,1.64935,1.64926,1.64932,-1,-1.0,-1,1.64934,1.64941,1.64934,1.64939,-1,-1.0,-1
