,datetime,bid_open,bid_high,bid_low,bid_close,bid_volume,bid_average,bid_barCount,ask_open,ask_high,ask_low,ask_close,ask_volume,ask_average,ask_barCount
0,2020-06-01 00:00:00+00:00,0.90035,0.90037,0.90033,0.90036,-1,-1.0,-1,0.90044,0.90044,0.9004,0.90042,-1,-1.0,-1
3600,2020-06-01 01:00:00+00:00,0.89869,0.89869,0.89862,0.89862,-1,-1.0,-1,0.89873,0.89873,0.89867,0.89867,-1,-1.0,-1
7200,2020-06-01 02:00:00+00:00,0.89715,0.89719,0.89715,0.89718,-1,-1.0,-1,0.89718,0.89722,0.89718,0.89722,-1,-1.0,-1
10800,2020-06-01 03:00:00+00:00,0.89786,0.89786,0.89785,0.89785,-1,-1.0,-1,0.89791,0.89792,0.89788,0.8979,-1,-1.0,-1
14400,2020-06-01 04:00:00+00:00,0.8988,0.89885,0.89878,0.89881,-1,-1.0,-1,0.89884,0.89886,0.89882,0.89883,-1,-1.0,-1
18000,2020-06-01 05:00:00+00:00,0.89913,0.89914,0.89913,0.89913,-1,-1.0,-1,0.89915,0.89917,0.89915,0.89917,-1,-1.0,-1
21600,2020-06-01 06:00:00+00:00,0.89909,0.89912,0.89908,0.8991,-1,-1.0,-1,0.89914,0.89919,0.89914,0.89917,-1,-1.0,-1
25200,2020-06-01 07:00:00+00:00,0.89915,0.89916,0.89914,0.89916,-1,-1.0,-1,0.89917,0.8992,0.89916,0.8992,-1,-1.0,-1
28800,2020-06-01 08:00:00+00:00,0.89742,0.89742,0.89738,0.89739,-1,-1.0,-1,0.89744,0.89744,0.89741,0.89742,-1,-1.0,-1
32400,2020-06-01 09:00:00+00:00,0.89801,0.89802,0.89794,0.89797,-1,-1.0,-1,0.89806,0.89806,0.89796,0.89798,-1,-1.0,-1
36000,2020-06-01 10:00:00+00:00,0.897,0.8971,0.897,0.8971,-1,-1.0,-1,0.89704,0.89712,0.89704,0.89712,-1,-1.0,-1
39600,2020-06-01 11:00:00+00:00,0.89672,0.89672,0.89668,0.89669,-1,-1.0,-1,0.89674,0.89674,0.89671,0.89671,-1,-1.0,-1
43200,2020-06-01 12:00:00+00:00,0.89688,0.89688,0.89684,0.89684,-1,-1.0,-1,0.89692,0.89692,0.89688,0.89688,-1,-1.0,-1
46800,2020-06-01 13:00:00+00:00,0.89614,0.89616,0.89614,0.89615,-1,-1.0,-1,0.89615,0.8962,0.89615,0.89618,-1,-1.0,-1
50400,2020-06-01 14:00:00+00:00,0.89542,0.89542,0.89538,0.89542,-1,-1.0,-1,0.89555,0.89555,0.89549,0.89554,-1,-1.0,-1
54000,2020-06-01 15:00:00+00:00,0.89219,0.89222,0.89218,0.89222,-1,-1.0,-1,0.89223,0.89225,0.89221,0.89225,-1,-1.0,-1
57600,2020-06-01 16:00:00+00:00,0.89195,0.89197,0.89195,0.89197,-1,-1.0,-1,0.892,0.892,0.89198,0.89199,-1,-1.0,-1
61200,2020-06-01 17:00:00+00:00,0.89287,0.89287,0.89286,0.89286,-1,-1.0,-1,0.89291,0.89291,0.89291,0.89291,-1,-1.0,-1
64800,2020-06-01 18:00:00+00:00,0.8919,0.8919,0.8919,0.8919,-1,-1.0,-1,0.89192,0.89194,0.89191,0.89194,-1,-1.0,-1
68400,2020-06-01 19:00:00+00:00,0.89085,0.89088,0.89084,0.89088,-1,-1.0,-1,0.89089,0.89094,0.89089,0.89094,-1,-1.0,-1
72000,2020-06-01 20:00:00+00:00,0.89082,0.89085,0.89082,0.89083,-1,-1.0,-1,0.89088,0.8909,0.89087,0.89087,-1,-1.0,-1
78300,2020-06-01 22:00:00+00:00,0.89113,0.89113,0.89113,0.89113,-1,-1.0,-1,0.89134,0.89134,0.89134,0.89134,-1,-1.0,-1
81900,2020-06-01 23:00:00+00:00,0.89145,0.89147,0.89145,0.89146,-1,-1.0,-1,0.89157,0.89157,0.89154,0.89155,-1,-1.0,-1
0,2020-06-02 00:00:00+00:00,0.89097,0.89101,0.89097,0.89097,-1,-1.0,-1,0.89101,0.89103,0.89101,0.89102,-1,-1.0,-1
3600,2020-06-02 01:00:00+00:00,0.88946,0.88946,0.88945,0.88945,-1,-1.0,-1,0.8895,0.8895,0.88946,0.88948,-1,-1.0,-1
7200,2020-06-02 02:00:00+00:00,0.88975,0.88975,0.88975,0.88975,-1,-1.0,-1,0.88978,0.88978,0.88977,0.88977,-1,-1.0,-1
10800,2020-06-02 03:00:00+00:00,0.89089,0.89089,0.89086,0.89088,-1,-1.0,-1,0.89094,0.89094,0.89089,0.89089,-1,-1.0,-1
14400,2020-06-02 04:00:00+00:00,0.8912,0.89123,0.8912,0.89122,-1,-1.0,-1,0.89125,0.89127,0.89125,0.89127,-1,-1.0,-1
18000,2020-06-02 05:00:00+00:00,0.8914,0.89143,0.8914,0.89141,-1,-1.0,-1,0.89145,0.89148,0.89143,0.89143,-1,-1.0,-1
21600,2020-06-02 06:00:00+00:00,0.89059,0.89062,0.89057,0.89059,-1,-1.0,-1,0.89065,0.89068,0.89062,0.89064,-1,-1.0,-1
25200,2020-06-02 07:00:00+00:00,0.88732,0.88745,0.88732,0.88745,-1,-1.0,-1,0.88739,0.88747,0.88738,0.88747,-1,-1.0,-1
28800,2020-06-02 08:00:00+00:00,0.8894,0.88942,0.88939,0.8894,-1,-1.0,-1,0.88943,0.88944,0.88942,0.88943,-1,-1.0,-1
32400,2020-06-02 09:00:00+00:00,0.88988,0.88989,0.88986,0.88989,-1,-1.0,-1,0.88991,0.88992,0.88989,0.88992,-1,-1.0,-1
36000,2020-06-02 10:00:00+00:00,0.88968,0.88972,0.88968,0.88971,-1,-1.0,-1,0.88973,0.88977,0.88973,0.88976,-1,-1.0,-1
39600,2020-06-02 11:00:00+00:00,0.88906,0.88907,0.88906,0.88907,-1,-1.0,-1,0.88912,0.88912,0.88911,0.88912,-1,-1.0,-1
43200,2020-06-02 12:00:00+00:00,0.89065,0.89065,0.89061,0.89063,-1,-1.0,-1,0.89067,0.89068,0.89064,0.89067,-1,-1.0,-1
46800,2020-06-02 13:00:00+00:00,0.8897,0.88971,0.88969,0.88971,-1,-1.0,-1,0.88973,0.88973,0.88973,0.88973,-1,-1.0,-1
50400,2020-06-02 14:00:00+00:00,0.89055,0.89056,0.89053,0.89053,-1,-1.0,-1,0.8906,0.8906,0.89058,0.89058,-1,-1.0,-1
54000,2020-06-02 15:00:00+00:00,0.89064,0.89067,0.89063,0.89064,-1,-1.0,-1,0.89065,0.89068,0.89065,0.89068,-1,-1.0,-1
57600,2020-06-02 16:00:00+00:00,0.89118,0.89122,0.89116,0.89121,-1,-1.0,-1,0.89119,0.89126,0.89119,0.89123,-1,-1.0,-1
61200,2020-06-02 17:00:00+00:00,0.89112,0.89114,0.89107,0.89107,-1,-1.0,-1,0.89116,0.89117,0.89112,0.89112,-1,-1.0,-1
64800,2020-06-02 18:00:00+00:00,0.89035,0.89036,0.89035,0.89036,-1,-1.0,-1,0.89036,0.89039,0.89036,0.89039,-1,-1.0,-1
68400,2020-06-02 19:00:00+00:00,0.89076,0.89079,0.89076,0.89079,-1,-1.0,-1,0.89081,0.89084,0.8908,0.89084,-1,-1.0,-1
72000,2020-06-02 20:00:00+00:00,0.88986,0.88996,0.88986,0.88995,-1,-1.0,-1,0.8899,0.89002,0.8899,0.89002,-1,-1.0,-1
78300,2020-06-02 22:00:00+00:00,0.88991,0.88992,0.88984,0.88984,-1,-1.0,-1,0.89013,0.89013,0.89002,0.89005,-1,-1.0,-1
81900,2020-06-02 23:00:00+00:00,0.89034,0.89034,0.89027,0.89027,-1,-1.0,-1,0.8904,0.8904,0.89031,0.89031,-1,-1.0,-1
0,2020-06-03 00:00:00+00:00,0.88903,0.88905,0.88901,0.88905,-1,-1.0,-1,0.88911,0.88914,0.8891,0.88913,-1,-1.0,-1
3600,2020-06-03 01:00:00+00:00,0.88867,0.88872,0.88867,0.88872,-1,-1.0,-1,0.88871,0.88878,0.88871,0.88878,-1,-1.0,-1
7200,2020-06-03 02:00:00+00:00,0.88898,0.889,0.88898,0.889,-1,-1.0,-1,0.88902,0.88908,0.88902,0.88908,-1,-1.0,-1
10800,2020-06-03 03:00:00+00:00,0.89025,0.89029,0.89025,0.89029,-1,-1.0,-1,0.89031,0.89037,0.89031,0.89037,-1,-1.0,-1
14400,2020-06-03 04:00:00+00:00,0.89049,0.89052,0.89048,0.89052,-1,-1.0,-1,0.89053,0.89056,0.89053,0.89056,-1,-1.0,-1
18000,2020-06-03 05:00:00+00:00,0.89025,0.89027,0.89025,0.89025,-1,-1.0,-1,0.89029,0.8903,0.89027,0.89027,-1,-1.0,-1
21600,2020-06-03 06:00:00+00:00,0.89023,0.89028,0.89023,0.89023,-1,-1.0,-1,0.89027,0.8903,0.89026,0.89029,-1,-1.0,-1
25200,2020-06-03 07:00:00+00:00,0.88985,0.88985,0.88979,0.8898,-1,-1.0,-1,0.88991,0.88991,0.88984,0.88986,-1,-1.0,-1
