,datetime,bid_open,bid_high,bid_low,bid_close,bid_volume,bid_average,bid_barCount,ask_open,ask_high,ask_low,ask_close,ask_volume,ask_average,ask_barCount
0,2020-06-01 00:00:00+00:00,1.11157,1.11158,1.11154,1.11154,-1,-1.0,-1,1.11158,1.1116,1.11155,1.11155,-1,-1.0,-1
3600,2020-06-01 01:00:00+00:00,1.11217,1.11217,1.11204,1.11206,-1,-1.0,-1,1.11219,1.11219,1.11206,1.11207,-1,-1.0,-1
7200,2020-06-01 02:00:00+00:00,1.11341,1.11345,1.11341,1.11345,-1,-1.0,-1,1.11342,1.11347,1.11342,1.11346,-1,-1.0,-1
10800,2020-06-01 03:00:00+00:00,1.11374,1.11374,1.11371,1.11371,-1,-1.0,-1,1.11376,1.11376,1.11373,1.11373,-1,-1.0,-1
14400,2020-06-01 04:00:00+00:00,1.11329,1.1133,1.11329,1.1133,-1,-1.0,-1,1.1133,1.11331,1.1133,1.11331,-1,-1.0,-1
18000,2020-06-01 05:00:00+00:00,1.11335,1.11335,1.11334,1.11335,-1,-1.0,-1,1.11336,1.11336,1.11336,1.11336,-1,-1.0,-1
21600,2020-06-01 06:00:00+00:00,1.11398,1.11398,1.11397,1.11397,-1,-1.0,-1,1.11399,1.11399,1.11399,1.11399,-1,-1.0,-1
25200,2020-06-01 07:00:00+00:00,1.11371,1.11377,1.11371,1.11376,-1,-1.0,-1,1.11373,1.11378,1.11373,1.11377,-1,-1.0,-1
28800,2020-06-01 08:00:00+00:00,1.11488,1.1149,1.11484,1.11484,-1,-1.0,-1,1.1149,1.11491,1.11487,1.11487,-1,-1.0,-1
32400,2020-06-01 09:00:00+00:00,1.11396,1.11398,1.11396,1.11398,-1,-1.0,-1,1.11397,1.11399,1.11397,1.11399,-1,-1.0,-1
36000,2020-06-01 10:00:00+00:00,1.1114,1.11147,1.1114,1.11147,-1,-1.0,-1,1.11141,1.11148,1.11141,1.11148,-1,-1.0,-1
39600,2020-06-01 11:00:00+00:00,1.1106,1.11061,1.11057,1.11058,-1,-1.0,-1,1.11061,1.11062,1.11058,1.11059,-1,-1.0,-1
43200,2020-06-01 12:00:00+00:00,1.11117,1.11122,1.11117,1.1112,-1,-1.0,-1,1.11118,1.11123,1.11118,1.11121,-1,-1.0,-1
46800,2020-06-01 13:00:00+00:00,1.11101,1.11102,1.11099,1.11101,-1,-1.0,-1,1.11102,1.11103,1.111,1.11102,-1,-1.0,-1
50400,2020-06-01 14:00:00+00:00,1.11257,1.11257,1.11254,1.11256,-1,-1.0,-1,1.11259,1.1126,1.11257,1.11258,-1,-1.0,-1
54000,2020-06-01 15:00:00+00:00,1.11372,1.11374,1.11372,1.11374,-1,-1.0,-1,1.11373,1.11375,1.11373,1.11375,-1,-1.0,-1
57600,2020-06-01 16:00:00+00:00,1.11227,1.11229,1.11226,1.11229,-1,-1.0,-1,1.11229,1.1123,1.11228,1.1123,-1,-1.0,-1
61200,2020-06-01 17:00:00+00:00,1.11298,1.11298,1.11296,1.11296,-1,-1.0,-1,1.11299,1.11299,1.11298,1.11298,-1,-1.0,-1
64800,2020-06-01 18:00:00+00:00,1.11293,1.113,1.11293,1.113,-1,-1.0,-1,1.11295,1.11301,1.11295,1.11301,-1,-1.0,-1
68400,2020-06-01 19:00:00+00:00,1.11324,1.11324,1.11323,1.11323,-1,-1.0,-1,1.11325,1.11325,1.11324,1.11324,-1,-1.0,-1
72000,2020-06-01 20:00:00+00:00,1.11352,1.11352,1.11348,1.11349,-1,-1.0,-1,1.11355,1.11355,1.11349,1.1135,-1,-1.0,-1
78300,2020-06-01 22:00:00+00:00,1.11314,1.11318,1.11314,1.11317,-1,-1.0,-1,1.11324,1.11326,1.11324,1.11326,-1,-1.0,-1
81900,2020-06-01 23:00:00+00:00,1.11323,1.11323,1.11323,1.11323,-1,-1.0,-1,1.11325,1.11325,1.11325,1.11325,-1,-1.0,-1
0,2020-06-02 00:00:00+00:00,1.11253,1.11254,1.11253,1.11254,-1,-1.0,-1,1.11254,1.11255,1.11254,1.11255,-1,-1.0,-1
3600,2020-06-02 01:00:00+00:00,1.11318,1.11323,1.11318,1.11323,-1,-1.0,-1,1.1132,1.11325,1.1132,1.11325,-1,-1.0,-1
7200,2020-06-02 02:00:00+00:00,1.11257,1.11259,1.11257,1.11257,-1,-1.0,-1,1.11259,1.1126,1.11259,1.1126,-1,-1.0,-1
10800,2020-06-02 03:00:00+00:00,1.1124,1.1124,1.11231,1.11231,-1,-1.0,-1,1.11241,1.11241,1.11232,1.11232,-1,-1.0,-1
14400,2020-06-02 04:00:00+00:00,1.11268,1.1127,1.11268,1.1127,-1,-1.0,-1,1.11269,1.11271,1.11269,1.11271,-1,-1.0,-1
18000,2020-06-02 05:00:00+00:00,1.11256,1.11256,1.11256,1.11256,-1,-1.0,-1,1.11257,1.11257,1.11257,1.11257,-1,-1.0,-1
21600,2020-06-02 06:00:00+00:00,1.11338,1.1134,1.11338,1.1134,-1,-1.0,-1,1.11339,1.11341,1.11339,1.11341,-1,-1.0,-1
25200,2020-06-02 07:00:00+00:00,1.11187,1.11199,1.11184,1.11195,-1,-1.0,-1,1.11188,1.112,1.11185,1.112,-1,-1.0,-1
28800,2020-06-02 08:00:00+00:00,1.11279,1.1128,1.11275,1.11275,-1,-1.0,-1,1.1128,1.11281,1.11278,1.11278,-1,-1.0,-1
32400,2020-06-02 09:00:00+00:00,1.11704,1.11705,1.11702,1.11705,-1,-1.0,-1,1.11706,1.11708,1.11703,1.11708,-1,-1.0,-1
36000,2020-06-02 10:00:00+00:00,1.11802,1.11807,1.11802,1.11806,-1,-1.0,-1,1.11803,1.11808,1.11803,1.11807,-1,-1.0,-1
39600,2020-06-02 11:00:00+00:00,1.11685,1.11687,1.11685,1.11687,-1,-1.0,-1,1.11686,1.11689,1.11686,1.11689,-1,-1.0,-1
43200,2020-06-02 12:00:00+00:00,1.11691,1.11694,1.11691,1.11693,-1,-1.0,-1,1.11692,1.11695,1.11692,1.11694,-1,-1.0,-1
46800,2020-06-02 13:00:00+00:00,1.1165,1.11651,1.11647,1.11651,-1,-1.0,-1,1.11651,1.11653,1.11648,1.11653,-1,-1.0,-1
50400,2020-06-02 14:00:00+00:00,1.11889,1.11891,1.11885,1.11885,-1,-1.0,-1,1.11891,1.11892,1.11886,1.11886,-1,-1.0,-1
54000,2020-06-02 15:00:00+00:00,1.11835,1.11839,1.11834,1.11838,-1,-1.0,-1,1.11836,1.1184,1.11836,1.11839,-1,-1.0,-1
57600,2020-06-02 16:00:00+00:00,1.11658,1.11661,1.11658,1.1166,-1,-1.0,-1,1.11659,1.11662,1.11659,1.11662,-1,-1.0,-1
61200,2020-06-02 17:00:00+00:00,1.11739,1.1174,1.11739,1.1174,-1,-1.0,-1,1.11741,1.11742,1.11741,1.11741,-1,-1.0,-1
64800,2020-06-02 18:00:00+00:00,1.11705,1.11708,1.11705,1.11707,-1,-1.0,-1,1.11708,1.1171,1.11708,1.11709,-1,-1.0,-1
68400,2020-06-02 19:00:00+00:00,1.11721,1.11722,1.11721,1.11721,-1,-1.0,-1,1.11722,1.11724,1.11722,1.11722,-1,-1.0,-1
72000,2020-06-02 20:00:00+00:00,1.11652,1.11657,1.11652,1.11655,-1,-1.0,-1,1.11654,1.11659,1.11654,1.11656,-1,-1.0,-1
78300,2020-06-02 22:00:00+00:00,1.11698,1.11701,1.11685,1.11686,-1,-1.0,-1,1.1171,1.1171,1.11698,1.11698,-1,-1.0,-1
81900,2020-06-02 23:00:00+00:00,1.11731,1.11731,1.11731,1.11731,-1,-1.0,-1,1.11734,1.11734,1.11734,1.11734,-1,-1.0,-1
0,2020-06-03 00:00:00+00:00,1.11852,1.11852,1.11847,1.11849,-1,-1.0,-1,1.11853,1.11853,1.11849,1.1185,-1,-1.0,-1
