,datetime,bid_open,bid_high,bid_low,bid_close,bid_volume,bid_average,bid_barCount,ask_open,ask_high,ask_low,ask_close,ask_volume,ask_average,ask_barCount
0,2020-06-01 00:00:00+00:00,1.23448,1.23456,1.23448,1.23449,-1,-1.0,-1,1.23457,1.23461,1.23457,1.23457,-1,-1.0,-1
3600,2020-06-01 01:00:00+00:00,1.23751,1.23753,1.23746,1.23746,-1,-1.0,-1,1.23756,1.23759,1.2375,1.23751,-1,-1.0,-1
7200,2020-06-01 02:00:00+00:00,1.24102,1.24103,1.24102,1.24103,-1,-1.0,-1,1.24105,1.24105,1.24105,1.24105,-1,-1.0,-1
10800,2020-06-01 03:00:00+00:00,1.24038,1.24038,1.24037,1.24038,-1,-1.0,-1,1.24045,1.24045,1.24045,1.24045,-1,-1.0,-1
14400,2020-06-01 04:00:00+00:00,1.23863,1.23863,1.23863,1.23863,-1,-1.0,-1,1.23864,1.23868,1.23864,1.23868,-1,-1.0,-1
18000,2020-06-01 05:00:00+00:00,1.23823,1.23823,1.23819,1.23819,-1,-1.0,-1,1.23829,1.23829,1.23826,1.23827,-1,-1.0,-1
21600,2020-06-01 06:00:00+00:00,1.23895,1.23895,1.23886,1.23886,-1,-1.0,-1,1.23905,1.23905,1.23894,1.23894,-1,-1.0,-1
25200,2020-06-01 07:00:00+00:00,1.23861,1.23865,1.23861,1.23862,-1,-1.0,-1,1.23864,1.23871,1.23862,1.23864,-1,-1.0,-1
28800,2020-06-01 08:00:00+00:00,1.24225,1.24229,1.24225,1.24225,-1,-1.0,-1,1.24233,1.24235,1.2423,1.2423,-1,-1.0,-1
32400,2020-06-01 09:00:00+00:00,1.24047,1.24055,1.24047,1.24052,-1,-1.0,-1,1.24048,1.2406,1.24048,1.24057,-1,-1.0,-1
36000,2020-06-01 10:00:00+00:00,1.23897,1.23897,1.23889,1.23893,-1,-1.0,-1,1.23902,1.23902,1.23894,1.23896,-1,-1.0,-1
39600,2020-06-01 11:00:00+00:00,1.23852,1.23853,1.2385,1.23852,-1,-1.0,-1,1.23853,1.23856,1.23853,1.23853,-1,-1.0,-1
43200,2020-06-01 12:00:00+00:00,1.23891,1.23901,1.23891,1.23897,-1,-1.0,-1,1.23896,1.23902,1.23896,1.23901,-1,-1.0,-1
46800,2020-06-01 13:00:00+00:00,1.23977,1.23977,1.23973,1.23973,-1,-1.0,-1,1.2398,1.2398,1.23974,1.23974,-1,-1.0,-1
50400,2020-06-01 14:00:00+00:00,1.24239,1.2424,1.24234,1.24238,-1,-1.0,-1,1.24248,1.24251,1.24248,1.2425,-1,-1.0,-1
54000,2020-06-01 15:00:00+00:00,1.24826,1.2483,1.24823,1.24824,-1,-1.0,-1,1.24829,1.24833,1.24827,1.24827,-1,-1.0,-1
57600,2020-06-01 16:00:00+00:00,1.24699,1.24702,1.24699,1.24701,-1,-1.0,-1,1.24704,1.24704,1.24701,1.24703,-1,-1.0,-1
61200,2020-06-01 17:00:00+00:00,1.24646,1.24646,1.24646,1.24646,-1,-1.0,-1,1.24652,1.24652,1.24652,1.24652,-1,-1.0,-1
64800,2020-06-01 18:00:00+00:00,1.2478,1.24783,1.2478,1.24782,-1,-1.0,-1,1.24787,1.24787,1.24787,1.24787,-1,-1.0,-1
68400,2020-06-01 19:00:00+00:00,1.2496,1.2496,1.24951,1.24951,-1,-1.0,-1,1.24966,1.24966,1.24957,1.24957,-1,-1.0,-1
72000,2020-06-01 20:00:00+00:00,1.2499,1.24992,1.24986,1.24986,-1,-1.0,-1,1.24996,1.24999,1.24992,1.24993,-1,-1.0,-1
78300,2020-06-01 22:00:00+00:00,1.24895,1.24895,1.24887,1.24893,-1,-1.0,-1,1.24937,1.24939,1.24936,1.24936,-1,-1.0,-1
81900,2020-06-01 23:00:00+00:00,1.24866,1.24872,1.24866,1.24868,-1,-1.0,-1,1.24878,1.2488,1.24876,1.24879,-1,-1.0,-1
0,2020-06-02 00:00:00+00:00,1.24858,1.24862,1.24857,1.24859,-1,-1.0,-1,1.24868,1.24868,1.24862,1.24866,-1,-1.0,-1
3600,2020-06-02 01:00:00+00:00,1.25147,1.25158,1.25147,1.25158,-1,-1.0,-1,1.2515,1.25161,1.2515,1.2516,-1,-1.0,-1
7200,2020-06-02 02:00:00+00:00,1.25042,1.25042,1.25042,1.25042,-1,-1.0,-1,1.25047,1.25047,1.25046,1.25046,-1,-1.0,-1
10800,2020-06-02 03:00:00+00:00,1.24859,1.24859,1.24855,1.24855,-1,-1.0,-1,1.24862,1.24862,1.24857,1.24858,-1,-1.0,-1
14400,2020-06-02 04:00:00+00:00,1.24846,1.24848,1.24845,1.24845,-1,-1.0,-1,1.24853,1.24853,1.2485,1.2485,-1,-1.0,-1
18000,2020-06-02 05:00:00+00:00,1.24806,1.24806,1.24804,1.24804,-1,-1.0,-1,1.24812,1.24812,1.24808,1.24809,-1,-1.0,-1
21600,2020-06-02 06:00:00+00:00,1.25012,1.25015,1.25009,1.25014,-1,-1.0,-1,1.25014,1.25019,1.25012,1.25018,-1,-1.0,-1
25200,2020-06-02 07:00:00+00:00,1.25302,1.25302,1.25292,1.25299,-1,-1.0,-1,1.25305,1.25305,1.25296,1.25304,-1,-1.0,-1
28800,2020-06-02 08:00:00+00:00,1.25111,1.25113,1.25109,1.25109,-1,-1.0,-1,1.25116,1.25119,1.25116,1.25117,-1,-1.0,-1
